service_id,service_description,service_schedule_name,service_schedule_type,service_schedule_typicality,rating_start_date,rating_end_date,rating_description
BUS32025-hba35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
BUS32025-hbb35017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20250615,20250823,Summer
BUS32025-hbb35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
BUS32025-hbc35017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20250615,20250823,Summer
BUS32025-hbc35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
BUS32025-hbf35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
BUS32025-hbg35017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20250615,20250823,Summer
BUS32025-hbg35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
BUS32025-hbl35017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20250615,20250823,Summer
BUS32025-hbl35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
BUS32025-hbq35017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20250615,20250823,Summer
BUS32025-hbq35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
BUS32025-hbs35017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20250615,20250823,Summer
BUS32025-hbs35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
BUS32025-hbt35017-Sunday-02,Sunday schedule,Sunday,Sunday,1,20250615,20250823,Summer
BUS32025-hbt35ns1-Weekday-02,Weekday schedule (no school),Weekday (no school),Weekday,1,20250615,20250823,Summer
Blue-18-Saturday-5de7a,Saturday schedule (Track Work),Saturday (Track Work),Saturday,4,20250809,20250817,Summer 2025
Blue-18-Sunday-5de7a,Sunday schedule (Track Work),Sunday (Track Work),Sunday,4,20250809,20250817,Summer 2025
Blue-18-Weekday-5de7a,Weekday schedule (Track Work),Weekday (Track Work),Weekday,4,20250809,20250817,Summer 2025
